bathroom_num,bedroom_num,bizcircle_name,city,dist,distance,frame_orientation,hall_num,house_tag,house_title,latitude,layout,longitude,m_url,rent_area,rent_price_listing,resblock_name,type
1,2,新街口,北京,海淀,,南 北,1,集中供暖 随时看房,整租 ·    西直门 枫蓝国际 小西天 红联村简装两居可合租,39.955692,2室1厅1卫,116.366123,https://m.lianjia.com/chuzu/bj/zufang/BJ2168864059523604480.html,55.0,6500,红联村,整租
1,2,国展,北京,朝阳,1012.0,南 北,1,精装 集中供暖 新上,整租 · 香河园中里 2室1厅 7500元,39.958436999999996,2室1厅1卫,116.45241499999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2199100349577428992.html,64.0,7500,香河园中里,整租
1,1,黄村中,北京,大兴,257.0,南,1,近地铁 集中供暖 新上,黄村西里 1室1厅 3000元,39.741186,1室1厅1卫,116.340971,https://m.lianjia.com/chuzu/bj/zufang/BJ2196211190794305536.html,41.0,3000,黄村西里,整租
1,2,回龙观,北京,昌平,399.0,南,1,近地铁 集中供暖 新上 随时看房,首开国风美唐三期精装全南向两居,40.082482,2室1厅1卫,116.36758,https://m.lianjia.com/chuzu/bj/zufang/BJ2180960785319337984.html,93.0,7800,首开国风美唐三期,整租
1,2,亦庄开发区其它,北京,亦庄开发区,,南 北,1,集中供暖,悦廷 2室1厅 4600元,39.774359999999994,2室1厅1卫,116.512253,https://m.lianjia.com/chuzu/bj/zufang/BJ2163169939362414592.html,91.0,4600,悦廷,整租
2,2,刘家窑,北京,丰台,171.0,南 北,1,近地铁 集中供暖,鲁能钓鱼台美高梅公馆 新小区 管家式服务,39.851071000000005,3房间2卫,116.430329,https://m.lianjia.com/chuzu/bj/zufang/BJ2149044664400363520.html,82.0,13000,鲁能钓鱼台美高梅公馆,整租
1,2,酒仙桥,北京,朝阳,711.0,东南,1,近地铁 精装 集中供暖,整租 ·   高家园精装二居 高层 近地铁 优先接受一家人住,39.985535,2室1厅1卫,116.49386799999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2177966570889297920.html,58.0,7000,高家园五区,整租
2,2,农展馆,北京,朝阳,554.0,西,1,近地铁 精装 集中供暖 双卫生间,整租 · 高层 西向2居室 带全套家私 开放式厨房 带户外阳台,39.942074,2室1厅2卫,116.48025600000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2158590044095381504.html,163.0,21000,景园大厦,整租
1,2,皂君庙,北京,海淀,612.0,西南,1,近地铁 精装 集中供暖 随时看房,整租 ·  双榆树人大农科院带电梯正规两居室,39.971446,2室1厅1卫,116.338177,https://m.lianjia.com/chuzu/bj/zufang/BJ2178874394527399936.html,46.0,6500,双榆树南里二区,整租
2,2,国展,北京,朝阳,,南 北,2,精装 集中供暖 双卫生间 随时看房,整租 · 瑞福楼 精装修南北两居室 12500,39.960643,2室2厅2卫,116.45123899999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2119536508456411136.html,134.0,12500,瑞福楼,整租
1,2,惠新西街,北京,朝阳,161.0,南,1,近地铁 集中供暖 新上,惠新里小区优质婚房两居室诚心出租,39.985931,2室1厅1卫,116.425766,https://m.lianjia.com/chuzu/bj/zufang/BJ2173047304830066688.html,40.0,9000,惠新里小区,整租
1,1,潞苑,北京,通州,,东,0,精装 集中供暖 随时看房,整租 · K2清水湾 精装开间 电梯房 拎包入住 看房方便 短租,39.931339,1室0厅1卫,116.689177,https://m.lianjia.com/chuzu/bj/zufang/BJ2163171494635503616.html,42.0,3200,K2清水湾,整租
1,1,皂君庙,北京,海淀,917.0,南,1,近地铁 精装 集中供暖,整租 · 皂君庙四道口大一居可当两居室用,39.964408,1室1厅1卫,116.343001,https://m.lianjia.com/chuzu/bj/zufang/BJ2165281163403329536.html,49.0,6000,皂君东里,整租
1,2,三元桥,北京,朝阳,712.0,南,1,近地铁 精装 集中供暖 新上 随时看房,整租 ·   裘马都南向两居室，看房方便，随时起租,39.972255,2室1厅1卫,116.466282,https://m.lianjia.com/chuzu/bj/zufang/BJ2196296332934135808.html,101.0,16000,裘马都,整租
0,3,六铺炕,北京,西城,,南,1,随时看房,整租 · 德胜置业办公楼 带电梯 朝南无遮挡视野好 随时签约,39.968913,3室1厅0卫,116.38893999999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2120245527671996416.html,144.0,19000,德胜置业,整租
1,2,瀛海,北京,大兴,,南 北,1,集中供暖,瀛海家园逸园A区 2室1厅 4000元,39.770066,2室1厅1卫,116.44145,https://m.lianjia.com/chuzu/bj/zufang/BJ2123215998726176768.html,80.0,4000,瀛海家园逸园A区,整租
2,2,亚运村,北京,朝阳,736.0,西南 北,2,近地铁 集中供暖 新上,荣尊堡国际俱乐部公寓 2室2厅 15000元,40.014821000000005,2室2厅2卫,116.42071200000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2195307462700310528.html,125.0,15000,荣尊堡国际俱乐部公寓,整租
2,1,鲁谷,北京,石景山,,北,1,集中供暖 随时看房,紫御国际 2房间2卫 8000元 复式,39.90865,2房间2卫,116.22864299999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2153542852905541632.html,57.0,8000,紫御国际,整租
1,2,鲁谷,北京,石景山,636.0,东北,2,近地铁 精装 集中供暖 随时看房,整租 · 远洋山水 2室2厅 8300元,39.906426,2室2厅1卫,116.24700800000001,https://m.lianjia.com/chuzu/bj/zufang/BJ2154094616373100544.html,97.0,8300,远洋山水,整租
1,2,双井,北京,朝阳,249.0,南 北,0,月租 近地铁 集中供暖,整租 · 广渠门外大街短租四个月南北小两居,39.899975,2室0厅1卫,116.460123,https://m.lianjia.com/chuzu/bj/zufang/BJ2131084979151568896.html,41.0,4500,广渠门外大街路北区,整租
1,1,天坛,北京,东城,86.0,南,1,近地铁 集中供暖 随时看房,前门前 2房间1卫 15000元,39.897785999999996,2房间1卫,116.41521100000001,https://m.lianjia.com/chuzu/bj/zufang/BJ1999240050344468480.html,126.0,15000,前门前,整租
1,2,垡头,北京,朝阳,662.0,南 北,1,近地铁 集中供暖 随时看房,整租 · 南北通透户型方正适合一家人居住。,39.873302,2室1厅1卫,116.516248,https://m.lianjia.com/chuzu/bj/zufang/BJ2150657649149493248.html,61.0,5000,垡头西里二区,整租
1,2,北苑,北京,朝阳,139.0,西,1,近地铁 集中供暖,领地OFFICE 2室1厅 11000元,40.046624,2室1厅1卫,116.421209,https://m.lianjia.com/chuzu/bj/zufang/BJ2130347533703323648.html,99.0,11000,领地OFFICE,整租
2,2,双井,北京,朝阳,792.0,东 西,1,近地铁 精装 集中供暖 双卫生间,整租 · 双井世桥国贸东西通透两居室，品质小区，看房随时,39.904803,2室1厅2卫,116.469718,https://m.lianjia.com/chuzu/bj/zufang/BJ2146978706487246848.html,127.0,15000,世桥国贸,整租
1,2,观音寺,北京,大兴,,南 北,1,集中供暖 随时看房,整租 · 观音寺南里 2室1厅 3000元,39.728279,2室1厅1卫,116.35594499999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2103292058990559232.html,51.0,3000,观音寺南里,整租
1,2,通州其它,北京,通州,,南 北,1,精装 集中供暖 随时看房,整租 · 首开国风美仑 精装修 大两居 家具家电可配齐,39.774798,2室1厅1卫,116.592253,https://m.lianjia.com/chuzu/bj/zufang/BJ2171663392237436928.html,89.0,4500,首开国风美仑,整租
3,4,望京,北京,朝阳,314.0,南 北,2,近地铁 精装 集中供暖,整租 · 融科橄榄城一期 4室2厅 26000元,40.004922,4室2厅3卫,116.49203899999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2153363945715400704.html,184.0,26000,融科橄榄城一期,整租
1,1,金融街,北京,西城,427.0,东,1,近地铁 精装 集中供暖 随时看房,整租 ·   闹市口大街长椿街地铁北京尊府朝东一居带车位,39.908429999999996,1室1厅1卫,116.36818899999999,https://m.lianjia.com/chuzu/bj/zufang/BJ2169502610078842880.html,65.0,15500,北京尊府,整租
1,2,李桥,北京,顺义,,南 北,1,集中供暖 新上 随时看房,整租 ·   樱花园一区两居室，距离小区门口近，家具电齐全,40.031531,2室1厅1卫,116.636725,https://m.lianjia.com/chuzu/bj/zufang/BJ2198387037575585792.html,80.0,3500,樱花园一区,整租
1,1,马甸,北京,朝阳,169.0,南,1,近地铁 精装 集中供暖 随时看房,整租 · 精装修朝南一居室   低楼层  稳定长租   看房随时,39.972072,1室1厅1卫,116.399693,https://m.lianjia.com/chuzu/bj/zufang/BJ2152742582210535424.html,50.0,6000,鼓楼外大街,整租
1,1,常营,北京,朝阳,936.0,南,1,近地铁 精装 集中供暖 随时看房,整租 · 北京新天地二期 1室1厅 6500元,39.921895,1室1厅1卫,116.610874,https://m.lianjia.com/chuzu/bj/zufang/BJ2194028612624596992.html,70.0,6500,北京新天地二期,整租
1,2,CBD,北京,朝阳,292.0,南,1,近地铁 集中供暖,万达广场公寓 2室1厅 23000元,39.916424,2室1厅1卫,116.478715,https://m.lianjia.com/chuzu/bj/zufang/BJ2192795664449011712.html,125.0,23000,万达广场公寓,整租
2,3,临河里,北京,通州,,南 西 北,1,集中供暖 随时看房,金隅七零九零 简装三居 有钥匙看房方便,39.888054,3室1厅2卫,116.70811,https://m.lianjia.com/chuzu/bj/zufang/BJ2173151789849772032.html,114.0,5500,金隅七零九零,整租
1,1,马连道,北京,西城,993.0,北,0,近地铁,整租 · 信和嘉园 1室0厅 5500元,39.885776,1室0厅1卫,116.332299,https://m.lianjia.com/chuzu/bj/zufang/BJ2037597151601115136.html,47.0,5500,信和嘉园,整租
